text,label
I am so scared about tomorrow's exam,stressed
I have no idea what to study,stressed
I cannot sleep because of the exam,stressed
My mind goes blank when I think about the test,stressed
I am going to fail for sure,stressed
I feel so overwhelmed with all the syllabus,stressed
I don't understand anything in this subject,stressed
I am panicking about the exam tomorrow,stressed
There is too much to study and too little time,stressed
I feel like crying because of exam pressure,stressed
I haven't studied anything yet and exam is tomorrow,stressed
My heart is racing just thinking about the exam,stressed
I am so anxious I cannot focus on studying,stressed
I keep forgetting everything I study,stressed
I am not prepared at all for this test,stressed
Everyone else seems more prepared than me,stressed
I am going to embarrass myself in the exam,stressed
I feel sick with worry about the results,stressed
The exam syllabus is too huge I cannot finish it,stressed
I am extremely nervous and cannot calm down,stressed
I studied a little but not sure if it is enough,neutral
I will try my best in the exam tomorrow,neutral
I have covered most of the topics,neutral
I feel okay about the test,neutral
I think I will manage somehow,neutral
The exam is tomorrow and I am doing last minute revision,neutral
I am not fully prepared but not too worried either,neutral
I have studied the important chapters at least,neutral
I hope the questions are from what I studied,neutral
I am a bit unsure but I will give it a shot,neutral
I have some doubts but I think I will be fine,neutral
Just need to revise a few more topics tonight,neutral
I am neither very confident nor very scared,neutral
The exam seems manageable if I stay calm,neutral
I studied on and off so let us see how it goes,neutral
I have read the notes once and will revise again,neutral
I am going to sleep early and attempt the exam fresh,neutral
I think the exam will be average difficulty,neutral
I am okay with whatever result I get,neutral
I will do what I can and leave the rest,neutral
I studied well and feel prepared,relaxed
Everything is going to be fine,relaxed
I have completed my revision and feeling confident,relaxed
I am fully ready for the exam tomorrow,relaxed
I practiced all the previous year papers,relaxed
I understand the subject well and I am not worried,relaxed
I have studied consistently and I feel good,relaxed
I am calm and confident about tomorrow's exam,relaxed
I know my preparation is solid,relaxed
I feel great about the test I am ready,relaxed
I have revised all topics and feeling very confident,relaxed
I am looking forward to the exam actually,relaxed
My concepts are clear and I have practiced enough,relaxed
I did thorough preparation so I am not stressed at all,relaxed
I feel at peace with my preparation level,relaxed
I completed all my notes and feel very prepared,relaxed
I am confident I will do well in this exam,relaxed
I studied hard for weeks so I am ready,relaxed
I have no worries about the exam,relaxed
I am excited to show what I have learned,relaxed
I studied but there are a few topics I am unsure about,neutral
I think I know enough to pass at least,neutral
The exam is tough but I have done my best,neutral
I am a little nervous but mostly okay,neutral
I revised the key points so hopefully it works out,neutral
